Alpha=0.9;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;true;271;284;
LehmerLow;true;0;284;
LehmerHigh;true;43;284;
Geffe;true;229;284;
L20;true;176;284;
L89;true;214;284;
Librarian;false;8343316;284;
BM;true;269;284;
BMbyte;true;261;284;
BBS;true;246;284;
BBSbyte;true;234;284;
Volfram;false;926;284;
Alpha=0.95;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;true;232;284;
LehmerLow;true;0;284;
LehmerHigh;true;43;284;
Geffe;true;204;284;
L20;true;165;284;
L89;true;217;284;
Librarian;false;8343316;284;
BM;true;272;284;
BMbyte;true;256;284;
BBS;true;246;284;
BBSbyte;true;234;284;
Volfram;false;782;284;
