Alpha=0.9;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;+;65075;65487;
LehmerLow;-;23812500;65487;
LehmerHigh;+;63272;65487;
Geffe;-;86966;65487;
L20;+;53363;65487;
L89;+;61396;65487;
BM;+;64537;65487;
BMbyte;-;65517;65487;
BBS;+;65484;65487;
BBSbyte;+;65253;65487;
Volfram;-;230984;65487;
Librarian;-;1092567;65487;
Alpha=0.95;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;+;65394;65618;
LehmerLow;-;23812500;65618;
LehmerHigh;+;63272;65618;
Geffe;-;86753;65618;
L20;+;53034;65618;
L89;+;62311;65618;
BM;+;64586;65618;
BMbyte;+;64741;65618;
BBS;+;65484;65618;
BBSbyte;+;65253;65618;
Volfram;-;198641;65618;
Librarian;-;1092567;65618;
Alpha=0.95;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;+;64940;65864;
LehmerLow;-;23812500;65864;
LehmerHigh;+;63272;65864;
Geffe;-;87405;65864;
L20;+;53294;65864;
L89;-;76876;65864;
BM;+;65600;65864;
BMbyte;+;65110;65864;
BBS;+;65484;65864;
BBSbyte;+;65253;65864;
Volfram;-;217518;65864;
Librarian;-;1092567;65864;
