Alpha=0.9;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;+;65127;65487;
LehmerLow;+;2317;65487;
LehmerHigh;+;64927;65487;
Geffe;+;63736;65487;
L20;+;64582;65487;
L89;+;65326;65487;
BM;+;64998;65487;
BMbyte;+;65277;65487;
BBS;+;64953;65487;
BBSbyte;+;65062;65487;
Volfram;+;64651;65487;
Librarian;+;32546;65487;
Alpha=0.95;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;+;64627;65618;
LehmerLow;+;2317;65618;
LehmerHigh;+;64927;65618;
Geffe;+;63678;65618;
L20;+;64912;65618;
L89;+;65317;65618;
BM;+;64425;65618;
BMbyte;+;64201;65618;
BBS;+;64953;65618;
BBSbyte;+;65062;65618;
Volfram;+;65088;65618;
Librarian;+;32546;65618;
Alpha=0.95;
Generator Name;Result;hiSuares;hiSquaredMinusAlpha;
StandartGenerator;+;65425;65864;
LehmerLow;+;2317;65864;
LehmerHigh;+;64927;65864;
Geffe;+;62988;65864;
L20;+;65002;65864;
L89;+;65023;65864;
BM;+;64518;65864;
BMbyte;+;65677;65864;
BBS;+;64953;65864;
BBSbyte;+;65062;65864;
Volfram;+;64666;65864;
Librarian;+;32546;65864;
